experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed
129,0.001,10000,1800,128,64,40,ZERO,10,420
67,0.001,10000,1800,32,512,10,FF,10,198
31,0.001,10000,1800,32,512,40,LSTM,10,282
180,0.001,10000,300,32,64,40,RAND,10,325
412,0.001,10000,300,1024,512,40,RAND,30,39
192,0.001,10000,300,32,512,40,RAND,10,173
77,0.001,10000,1800,1024,64,40,FF,10,49
214,0.001,10000,300,1024,512,100,RAND,10,357
158,0.001,10000,300,128,512,100,ZERO,10,17
375,0.001,10000,1800,128,512,100,ZERO,30,53
8,0.001,10000,300,128,256,10,LSTM,10,107
175,0.001,10000,1800,32,512,10,RAND,10,281
25,0.001,10000,1800,32,256,40,LSTM,10,326
140,0.001,10000,300,128,512,40,ZERO,10,354
300,0.001,10000,300,32,512,40,FF,30,387
389,0.001,10000,1800,1024,256,10,RAND,30,185
289,0.001,10000,1800,32,64,40,FF,30,125
406,0.001,10000,300,1024,256,40,RAND,30,25
156,0.001,10000,300,32,512,100,ZERO,10,218
403,0.001,10000,1800,32,256,40,RAND,30,265
56,0.001,10000,300,128,64,10,FF,10,318
216,0.001,10000,300,32,64,10,LSTM,30,422
297,0.001,10000,1800,128,256,40,FF,30,294
253,0.001,10000,1800,32,64,100,LSTM,30,303
86,0.001,10000,300,128,512,40,FF,10,336
95,0.001,10000,1800,1024,64,100,FF,10,141
139,0.001,10000,1800,32,512,40,ZERO,10,250
11,0.001,10000,1800,1024,256,10,LSTM,10,319
276,0.001,10000,300,32,256,10,FF,30,139
217,0.001,10000,1800,32,64,10,LSTM,30,27
392,0.001,10000,300,128,512,10,RAND,30,393
395,0.001,10000,1800,1024,512,10,RAND,30,401
41,0.001,10000,1800,1024,64,100,LSTM,10,417
200,0.001,10000,300,128,64,100,RAND,10,46
334,0.001,10000,300,1024,256,10,ZERO,30,400
103,0.001,10000,1800,32,512,100,FF,10,297
142,0.001,10000,300,1024,512,40,ZERO,10,229
27,0.001,10000,1800,128,256,40,LSTM,10,160
60,0.001,10000,300,32,256,10,FF,10,132
280,0.001,10000,300,1024,256,10,FF,30,348
409,0.001,10000,1800,32,512,40,RAND,30,416
