experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed,FIT
129,0.001,10000,1800,128,64,40,ZERO,10,420,79.390869140625
67,0.001,10000,1800,32,512,10,FF,10,198,89.79473375765703
31,0.001,10000,1800,32,512,40,LSTM,10,282,90.98502498591877
180,0.001,10000,300,32,64,40,RAND,10,325,81.57144927978516
412,0.001,10000,300,1024,512,40,RAND,30,39,81.27897644042969
192,0.001,10000,300,32,512,40,RAND,10,173,79.61338806152344
77,0.001,10000,1800,1024,64,40,FF,10,49,89.50865269570176
214,0.001,10000,300,1024,512,100,RAND,10,357,81.75271606445312
158,0.001,10000,300,128,512,100,ZERO,10,17,82.72792053222656
375,0.001,10000,1800,128,512,100,ZERO,30,53,82.18743133544922
8,0.001,10000,300,128,256,10,LSTM,10,107,84.01168221533675
175,0.001,10000,1800,32,512,10,RAND,10,281,79.34101867675781
25,0.001,10000,1800,32,256,40,LSTM,10,326,87.05007849374238
140,0.001,10000,300,128,512,40,ZERO,10,354,81.23155975341797
300,0.001,10000,300,32,512,40,FF,30,387,82.32939135028168
389,0.001,10000,1800,1024,256,10,RAND,30,185,81.0001220703125
289,0.001,10000,1800,32,64,40,FF,30,125,91.5498487571257
406,0.001,10000,300,1024,256,40,RAND,30,25,81.72403717041016
156,0.001,10000,300,32,512,100,ZERO,10,218,80.23110961914062
403,0.001,10000,1800,32,256,40,RAND,30,265,84.98716735839844
56,0.001,10000,300,128,64,10,FF,10,318,89.24639651620177
216,0.001,10000,300,32,64,10,LSTM,30,422,89.74728718255662
297,0.001,10000,1800,128,256,40,FF,30,294,92.18063400047184
253,0.001,10000,1800,32,64,100,LSTM,30,303,93.39802605761206
86,0.001,10000,300,128,512,40,FF,10,336,82.35713660901953
95,0.001,10000,1800,1024,64,100,FF,10,141,89.7876611076892
139,0.001,10000,1800,32,512,40,ZERO,10,250,82.5342788696289
11,0.001,10000,1800,1024,256,10,LSTM,10,319,87.03493870060962
276,0.001,10000,300,32,256,10,FF,30,139,85.5820268838409
217,0.001,10000,1800,32,64,10,LSTM,30,27,91.48391743994668
392,0.001,10000,300,128,512,10,RAND,30,393,76.0340576171875
395,0.001,10000,1800,1024,512,10,RAND,30,401,79.08711242675781
41,0.001,10000,1800,1024,64,100,LSTM,10,417,74.97945013600025
200,0.001,10000,300,128,64,100,RAND,10,46,87.296142578125
334,0.001,10000,300,1024,256,10,ZERO,30,400,77.25582885742188
103,0.001,10000,1800,32,512,100,FF,10,297,86.76394947225407
142,0.001,10000,300,1024,512,40,ZERO,10,229,81.77008819580078
27,0.001,10000,1800,128,256,40,LSTM,10,160,86.28514733548118
60,0.001,10000,300,32,256,10,FF,10,132,84.58939483573712
280,0.001,10000,300,1024,256,10,FF,30,348,83.45084955635022
409,0.001,10000,1800,32,512,40,RAND,30,416,85.90898132324219
55,0.001,10000,1800,32,64,10,FF,10,425,92.37124886112275
232,0.001,10000,300,1024,512,10,LSTM,30,189,85.44587375893776
150,0.001,10000,300,32,256,100,ZERO,10,66,82.40911102294922
14,0.001,10000,300,128,512,10,LSTM,10,194,84.42669446823568
291,0.001,10000,1800,128,64,40,FF,30,286,90.48875602128439
98,0.001,10000,300,128,256,100,FF,10,316,83.11312632484156
44,0.001,10000,300,128,256,100,LSTM,10,15,82.48185661819954
101,0.001,10000,1800,1024,256,100,FF,10,296,83.77254343210875
234,0.001,10000,300,32,64,40,LSTM,30,35,91.34552802430915
305,0.001,10000,1800,1024,512,40,FF,30,86,84.76617583422171
80,0.001,10000,300,128,256,40,FF,10,26,84.79290692262961
235,0.001,10000,1800,32,64,40,LSTM,30,230,90.39684177818653
151,0.001,10000,1800,32,256,100,ZERO,10,361,87.07512664794922
167,0.001,10000,1800,1024,64,10,RAND,10,268,80.69261932373047
212,0.001,10000,300,128,512,100,RAND,10,295,76.96407318115234
244,0.001,10000,300,1024,256,40,LSTM,30,216,86.74811758172267
176,0.001,10000,300,128,512,10,RAND,10,136,71.64734649658203
231,0.001,10000,1800,128,512,10,LSTM,30,347,84.79598643567414
283,0.001,10000,1800,32,512,10,FF,30,19,92.00741489568067
121,0.001,10000,1800,32,512,10,ZERO,10,276,79.14349365234375
137,0.001,10000,1800,1024,256,40,ZERO,10,236,83.3349380493164
193,0.001,10000,1800,32,512,40,RAND,10,217,83.28949737548828
16,0.001,10000,300,1024,512,10,LSTM,10,100,83.77593950645242
258,0.001,10000,300,32,256,100,LSTM,30,79,82.1444797134203
336,0.001,10000,300,32,512,10,ZERO,30,382,80.04528045654297
420,0.001,10000,300,32,256,100,RAND,30,242,82.28074645996094
421,0.001,10000,1800,32,256,100,RAND,30,277,87.15765380859375
279,0.001,10000,1800,128,256,10,FF,30,311,86.48492636798657
36,0.001,10000,300,32,64,100,LSTM,10,155,90.13265217766528
371,0.001,10000,1800,1024,256,100,ZERO,30,399,88.66744995117188
19,0.001,10000,1800,32,64,40,LSTM,10,394,90.98797828911562
329,0.001,10000,1800,1024,64,10,ZERO,30,304,78.65711975097656
130,0.001,10000,300,1024,64,40,ZERO,10,364,76.88679504394531
196,0.001,10000,300,1024,512,40,RAND,10,368,80.07557678222656
287,0.001,10000,1800,1024,512,10,FF,30,3,84.37163700179589
162,0.001,10000,300,32,64,10,RAND,10,30,78.06886291503906
126,0.001,10000,300,32,64,40,ZERO,10,252,82.03384399414062
290,0.001,10000,300,128,64,40,FF,30,280,84.85719333792508
59,0.001,10000,1800,1024,64,10,FF,10,415,91.11658729615813
236,0.001,10000,300,128,64,40,LSTM,30,204,88.11479202839277
425,0.001,10000,1800,1024,256,100,RAND,30,195,84.55191040039062
270,0.001,10000,300,32,64,10,FF,30,149,91.56408894006553
