"uBenchMark","yBenchMark","fs",
-0.11605,0.083432,51200,
-0.014077,0.070385,,
0,0.050128,,
-0.0096136,0.022317,,
-0.0024034,-0.010644,,
-0.0082402,-0.044978,,
-0.0030901,-0.078625,,
-0.0075535,-0.10953,,
-0.0037768,-0.13459,,
-0.0075535,-0.15416,,
-0.0041201,-0.16618,,
-0.0072102,-0.17201,,
-0.0048068,-0.17098,,
-0.0065235,-0.16618,,
-0.0048068,-0.15691,,
-0.0061802,-0.14489,,
-0.0048068,-0.13081,,
-0.0065235,-0.11536,,
-0.0051501,-0.098882,,
-0.0058368,-0.082745,,
-0.0051501,-0.066608,,
-0.0058368,-0.051501,,
-0.0051501,-0.037424,,
-0.0058368,-0.024721,,
-0.0054935,-0.013734,,
-0.0058368,-0.0051501,,
-0.0054935,0.0027467,,
-0.0058368,0.0078969,,
-0.0054935,0.012017,,
-0.0054935,0.014077,,
-0.0051501,0.015107,,
-0.0054935,0.01442,,
-0.0054935,0.01339,,
-0.0054935,0.012017,,
-0.0051501,0.0092702,,
-0.0054935,0.0075535,,
-0.0054935,0.0044634,,
-0.0054935,0.0024034,,
-0.0054935,-0.00034334,,
-0.0051501,-0.0024034,,
-0.0051501,-0.0041201,,
-0.0058368,-0.0061802,,
-0.0054935,-0.0075535,,
-0.0054935,-0.0089269,,
-0.0054935,-0.0092702,,
-0.0054935,-0.0103,,
-0.0054935,-0.0103,,
-0.0058368,-0.0103,,
-0.0058368,-0.0099569,,
-0.0058368,-0.0096136,,
-0.0054935,-0.0096136,,
-0.0058368,-0.0092702,,
-0.0058368,-0.0085835,,
-0.0058368,-0.0075535,,
-0.0058368,-0.0075535,,
-0.0058368,-0.0072102,,
-0.0058368,-0.0065235,,
-0.0058368,-0.0061802,,
-0.0058368,-0.0058368,,
-0.0058368,-0.0058368,,
-0.0058368,-0.0054935,,
-0.0058368,-0.0054935,,
-0.0058368,-0.0054935,,
-0.0058368,-0.0051501,,
-0.0058368,-0.0051501,,
-0.0058368,-0.0051501,,
-0.0058368,-0.0058368,,
-0.0058368,-0.0054935,,
