experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed
332,0.001,10000,3600,512,320,40,forward,FF,15,743
9,0.001,10000,300,1024,40,10,forward,LSTM,15,204
693,0.001,10000,300,1024,80,40,forward,RAND,15,203
583,0.001,10000,1800,512,40,10,forward,RAND,15,67
192,0.001,10000,300,32,40,10,forward,FF,15,762
648,0.001,10000,300,32,160,20,forward,RAND,15,86
623,0.001,10000,3600,1024,320,10,forward,RAND,15,607
398,0.001,10000,3600,32,80,10,forward,ZERO,15,435
298,0.001,10000,1800,1024,40,40,forward,FF,15,96
34,0.001,10000,1800,1024,160,10,forward,LSTM,15,385
305,0.001,10000,3600,128,80,40,forward,FF,15,0
217,0.001,10000,1800,32,160,10,forward,FF,15,397
303,0.001,10000,300,128,80,40,forward,FF,15,407
325,0.001,10000,1800,32,320,40,forward,FF,15,549
594,0.001,10000,300,512,80,10,forward,RAND,15,274
748,0.001,10000,1800,128,160,80,forward,RAND,15,551
488,0.001,10000,3600,512,40,40,forward,ZERO,15,571
289,0.001,10000,1800,32,40,40,forward,FF,15,484
641,0.001,10000,3600,128,80,20,forward,RAND,15,717
483,0.001,10000,300,128,40,40,forward,ZERO,15,379
671,0.001,10000,3600,1024,320,20,forward,RAND,15,610
716,0.001,10000,3600,512,320,40,forward,RAND,15,53
535,0.001,10000,1800,512,40,80,forward,ZERO,15,618
724,0.001,10000,1800,128,40,80,forward,RAND,15,151
743,0.001,10000,3600,1024,80,80,forward,RAND,15,537
702,0.001,10000,300,512,160,40,forward,RAND,15,119
113,0.001,10000,3600,128,80,40,forward,LSTM,15,187
182,0.001,10000,3600,32,320,80,forward,LSTM,15,490
708,0.001,10000,300,32,320,40,forward,RAND,15,442
254,0.001,10000,3600,32,80,20,forward,FF,15,613
584,0.001,10000,3600,512,40,10,forward,RAND,15,24
513,0.001,10000,300,1024,160,40,forward,ZERO,15,93
53,0.001,10000,3600,128,40,20,forward,LSTM,15,756
348,0.001,10000,300,32,80,80,forward,FF,15,425
502,0.001,10000,1800,1024,80,40,forward,ZERO,15,542
204,0.001,10000,300,32,80,10,forward,FF,15,255
496,0.001,10000,1800,128,80,40,forward,ZERO,15,16
66,0.001,10000,300,512,80,20,forward,LSTM,15,355
740,0.001,10000,3600,512,80,80,forward,RAND,15,709
164,0.001,10000,3600,512,80,80,forward,LSTM,15,327
731,0.001,10000,3600,1024,40,80,forward,RAND,15,265
489,0.001,10000,300,1024,40,40,forward,ZERO,15,195
754,0.001,10000,1800,1024,160,80,forward,RAND,15,472
468,0.001,10000,300,32,320,20,forward,ZERO,15,693
141,0.001,10000,300,1024,320,40,forward,LSTM,15,568
360,0.001,10000,300,32,160,80,forward,FF,15,748
54,0.001,10000,300,512,40,20,forward,LSTM,15,452
402,0.001,10000,300,512,80,10,forward,ZERO,15,208
392,0.001,10000,3600,512,40,10,forward,ZERO,15,237
387,0.001,10000,300,128,40,10,forward,ZERO,15,682
6,0.001,10000,300,512,40,10,forward,LSTM,15,338
159,0.001,10000,300,128,80,80,forward,LSTM,15,193
506,0.001,10000,3600,32,160,40,forward,ZERO,15,475
399,0.001,10000,300,128,80,10,forward,ZERO,15,264
558,0.001,10000,300,512,160,80,forward,ZERO,15,61
237,0.001,10000,300,1024,320,10,forward,FF,15,155
609,0.001,10000,300,1024,160,10,forward,RAND,15,25
525,0.001,10000,300,1024,320,40,forward,ZERO,15,514
161,0.001,10000,3600,128,80,80,forward,LSTM,15,319
487,0.001,10000,1800,512,40,40,forward,ZERO,15,545
712,0.001,10000,1800,128,320,40,forward,RAND,15,335
534,0.001,10000,300,512,40,80,forward,ZERO,15,508
729,0.001,10000,300,1024,40,80,forward,RAND,15,639
653,0.001,10000,3600,128,160,20,forward,RAND,15,562
25,0.001,10000,1800,32,160,10,forward,LSTM,15,605
295,0.001,10000,1800,512,40,40,forward,FF,15,579
201,0.001,10000,300,1024,40,10,forward,FF,15,511
151,0.001,10000,1800,512,40,80,forward,LSTM,15,230
115,0.001,10000,1800,512,80,40,forward,LSTM,15,283
636,0.001,10000,300,32,80,20,forward,RAND,15,184
219,0.001,10000,300,128,160,10,forward,FF,15,504
