experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed,FIT,RMSE
332,0.001,10000,3600,512,320,40,forward,FF,15,743,97.89669799804688,5.0299870781600475
9,0.001,10000,300,1024,40,10,forward,LSTM,15,204,90.59855651855469,22.483304142951965
693,0.001,10000,300,1024,80,40,forward,RAND,15,203,92.36365509033203,18.262101337313652
583,0.001,10000,1800,512,40,10,forward,RAND,15,67,95.24613952636719,11.368725448846817
192,0.001,10000,300,32,40,10,forward,FF,15,762,94.79791259765625,12.440646067261696
648,0.001,10000,300,32,160,20,forward,RAND,15,86,93.09524536132812,16.512546688318253
623,0.001,10000,3600,1024,320,10,forward,RAND,15,607,97.8116226196289,5.233449395745993
398,0.001,10000,3600,32,80,10,forward,ZERO,15,435,96.32294464111328,8.793564513325691
298,0.001,10000,1800,1024,40,40,forward,FF,15,96,96.41548919677734,8.572263643145561
34,0.001,10000,1800,1024,160,10,forward,LSTM,15,385,96.1152114868164,9.29036270827055
305,0.001,10000,3600,128,80,40,forward,FF,15,0,98.0408935546875,4.685143940150738
217,0.001,10000,1800,32,160,10,forward,FF,15,397,97.70897674560547,5.478919949382544
303,0.001,10000,300,128,80,40,forward,FF,15,407,94.3848648071289,13.428443111479282
325,0.001,10000,1800,32,320,40,forward,FF,15,549,95.7300796508789,10.211409069597721
594,0.001,10000,300,512,80,10,forward,RAND,15,274,94.71098327636719,12.648539617657661
748,0.001,10000,1800,128,160,80,forward,RAND,15,551,97.212646484375,6.665881257504225
488,0.001,10000,3600,512,40,40,forward,ZERO,15,571,98.46517944335938,3.6704749800264835
289,0.001,10000,1800,32,40,40,forward,FF,15,484,97.43515014648438,6.133759394288063
641,0.001,10000,3600,128,80,20,forward,RAND,15,717,98.19668579101562,4.3125757947564125
483,0.001,10000,300,128,40,40,forward,ZERO,15,379,95.27469635009766,11.300436221063137
671,0.001,10000,3600,1024,320,20,forward,RAND,15,610,97.7000503540039,5.500256083905697
716,0.001,10000,3600,512,320,40,forward,RAND,15,53,97.56886291503906,5.814000032842159
535,0.001,10000,1800,512,40,80,forward,ZERO,15,618,98.22616577148438,4.242069087922573
724,0.001,10000,1800,128,40,80,forward,RAND,15,151,98.13873291015625,4.451178014278412
743,0.001,10000,3600,1024,80,80,forward,RAND,15,537,96.97122955322266,7.243216037750244
702,0.001,10000,300,512,160,40,forward,RAND,15,119,92.96414947509766,16.826042905449867
113,0.001,10000,3600,128,80,40,forward,LSTM,15,187,98.64541625976562,3.23944422416389
182,0.001,10000,3600,32,320,80,forward,LSTM,15,490,95.72159576416016,10.231684893369675
708,0.001,10000,300,32,320,40,forward,RAND,15,442,91.30680847167969,20.78952267765999
254,0.001,10000,3600,32,80,20,forward,FF,15,613,97.88493347167969,5.058117210865021
584,0.001,10000,3600,512,40,10,forward,RAND,15,24,94.7275161743164,12.609008699655533
513,0.001,10000,300,1024,160,40,forward,ZERO,15,93,89.70743560791016,24.61438998579979
53,0.001,10000,3600,128,40,20,forward,LSTM,15,756,98.3873519897461,3.856608411297202
348,0.001,10000,300,32,80,80,forward,FF,15,425,95.29904174804688,11.242217384278774
502,0.001,10000,1800,1024,80,40,forward,ZERO,15,542,97.01844787597656,7.130310870707035
204,0.001,10000,300,32,80,10,forward,FF,15,255,95.22815704345703,11.411747895181179
496,0.001,10000,1800,128,80,40,forward,ZERO,15,16,97.36845397949219,6.2932707369327545
66,0.001,10000,300,512,80,20,forward,LSTM,15,355,95.3564224243164,11.104985140264034
740,0.001,10000,3600,512,80,80,forward,RAND,15,709,97.9363021850586,4.935275763273239
164,0.001,10000,3600,512,80,80,forward,LSTM,15,327,97.75092315673828,5.378606729209423
731,0.001,10000,3600,1024,40,80,forward,RAND,15,265,98.21053314208984,4.279471468180418
489,0.001,10000,300,1024,40,40,forward,ZERO,15,195,93.67791748046875,15.119087882339954
