experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,rep,seed,FIT,RMSE
18,0.001,10000,3600,128,80,40,forward,LSTM,15,18,33,98.31830596923828,4.021713510155678
29,0.001,10000,3600,128,80,40,forward,LSTM,15,29,76,98.48367309570312,3.626269055530429
64,0.001,10000,3600,128,80,40,forward,LSTM,15,64,79,98.34159088134766,3.9660376496613026
92,0.001,10000,3600,128,80,40,forward,LSTM,15,92,21,98.82386016845703,2.812699181959033
72,0.001,10000,3600,128,80,40,forward,LSTM,15,72,49,98.75801086425781,2.9701762832701206
87,0.001,10000,3600,128,80,40,forward,LSTM,15,87,12,98.81990814208984,2.82216165214777
5,0.001,10000,3600,128,80,40,forward,LSTM,15,5,93,98.21890258789062,4.259457346051931
15,0.001,10000,3600,128,80,40,forward,LSTM,15,15,30,98.52989196777344,3.5157164093106985
12,0.001,10000,3600,128,80,40,forward,LSTM,15,12,78,97.45086669921875,6.096191704273224
17,0.001,10000,3600,128,80,40,forward,LSTM,15,17,24,97.44287872314453,6.115288008004427
61,0.001,10000,3600,128,80,40,forward,LSTM,15,61,31,97.80408477783203,5.251478403806686
76,0.001,10000,3600,128,80,40,forward,LSTM,15,76,20,98.42527770996094,3.765904577448964
9,0.001,10000,3600,128,80,40,forward,LSTM,15,9,95,97.917724609375,4.979711025953293
78,0.001,10000,3600,128,80,40,forward,LSTM,15,78,72,98.447509765625,3.712742356583476
80,0.001,10000,3600,128,80,40,forward,LSTM,15,80,25,98.55472564697266,3.4563359804451466
7,0.001,10000,3600,128,80,40,forward,LSTM,15,7,73,98.2489013671875,4.187708254903555
33,0.001,10000,3600,128,80,40,forward,LSTM,15,33,68,97.89864349365234,5.025342106819153
6,0.001,10000,3600,128,80,40,forward,LSTM,15,6,16,98.8056869506836,2.856156090274453
37,0.001,10000,3600,128,80,40,forward,LSTM,15,37,56,98.39733123779297,3.832731628790498
74,0.001,10000,3600,128,80,40,forward,LSTM,15,74,98,98.3250732421875,4.005536437034607
79,0.001,10000,3600,128,80,40,forward,LSTM,15,79,77,98.76646423339844,2.949973102658987
1,0.001,10000,3600,128,80,40,forward,LSTM,15,1,86,98.45338439941406,3.6986880004405975
45,0.001,10000,3600,128,80,40,forward,LSTM,15,45,15,98.4930648803711,3.603802528232336
28,0.001,10000,3600,128,80,40,forward,LSTM,15,28,82,98.6138687133789,3.3148853108286858
60,0.001,10000,3600,128,80,40,forward,LSTM,15,60,10,98.59431457519531,3.3616647124290466
52,0.001,10000,3600,128,80,40,forward,LSTM,15,52,0,98.62728118896484,3.282815683633089
25,0.001,10000,3600,128,80,40,forward,LSTM,15,25,48,98.7162094116211,3.070141188800335
39,0.001,10000,3600,128,80,40,forward,LSTM,15,39,74,98.79651641845703,2.878098050132394
97,0.001,10000,3600,128,80,40,forward,LSTM,15,97,64,98.40898132324219,3.804879728704691
44,0.001,10000,3600,128,80,40,forward,LSTM,15,44,4,99.05184173583984,2.267499454319477
16,0.001,10000,3600,128,80,40,forward,LSTM,15,16,22,98.09574127197266,4.553993232548237
55,0.001,10000,3600,128,80,40,forward,LSTM,15,55,50,98.43074798583984,3.752824617549777
83,0.001,10000,3600,128,80,40,forward,LSTM,15,83,46,98.42639923095703,3.7632244639098644
49,0.001,10000,3600,128,80,40,forward,LSTM,15,49,5,98.67652893066406,3.1650334130972624
22,0.001,10000,3600,128,80,40,forward,LSTM,15,22,3,98.44984436035156,3.7071562837809324
70,0.001,10000,3600,128,80,40,forward,LSTM,15,70,19,98.38118743896484,3.871351480484009
47,0.001,10000,3600,128,80,40,forward,LSTM,15,47,40,98.64225769042969,3.2470114529132843
4,0.001,10000,3600,128,80,40,forward,LSTM,15,4,75,98.3127212524414,4.035080783069134
82,0.001,10000,3600,128,80,40,forward,LSTM,15,82,81,98.54888916015625,3.470297437161207
94,0.001,10000,3600,128,80,40,forward,LSTM,15,94,9,98.49967193603516,3.58799216337502
53,0.001,10000,3600,128,80,40,forward,LSTM,15,53,34,98.72860717773438,3.0404957942664623
66,0.001,10000,3600,128,80,40,forward,LSTM,15,66,32,98.89414978027344,2.6446180418133736
26,0.001,10000,3600,128,80,40,forward,LSTM,15,26,6,98.02903747558594,4.713498055934906
84,0.001,10000,3600,128,80,40,forward,LSTM,15,84,39,98.6736068725586,3.1720378901809454
31,0.001,10000,3600,128,80,40,forward,LSTM,15,31,80,98.45623016357422,3.6918797995895147
63,0.001,10000,3600,128,80,40,forward,LSTM,15,63,57,98.55007934570312,3.4674457274377346
8,0.001,10000,3600,128,80,40,forward,LSTM,15,8,54,98.57734680175781,3.4022266045212746
75,0.001,10000,3600,128,80,40,forward,LSTM,15,75,69,98.47145080566406,3.655485576018691
98,0.001,10000,3600,128,80,40,forward,LSTM,15,98,47,98.46685791015625,3.666472155600786
57,0.001,10000,3600,128,80,40,forward,LSTM,15,57,35,98.86201477050781,2.7214589063078165
71,0.001,10000,3600,128,80,40,forward,LSTM,15,71,29,98.5796127319336,3.396806539967656
99,0.001,10000,3600,128,80,40,forward,LSTM,15,99,44,98.40768432617188,3.807975444942713
86,0.001,10000,3600,128,80,40,forward,LSTM,15,86,58,98.47563171386719,3.6454726941883564
96,0.001,10000,3600,128,80,40,forward,LSTM,15,96,67,98.47042846679688,3.657938912510872
69,0.001,10000,3600,128,80,40,forward,LSTM,15,69,89,98.0002670288086,4.782292991876602
24,0.001,10000,3600,128,80,40,forward,LSTM,15,24,45,98.44329071044922,3.722823690623045
30,0.001,10000,3600,128,80,40,forward,LSTM,15,30,60,98.55036926269531,3.466758644208312
13,0.001,10000,3600,128,80,40,forward,LSTM,15,13,13,97.99736022949219,4.789262544363737
40,0.001,10000,3600,128,80,40,forward,LSTM,15,40,1,98.15389251708984,4.41492535173893
56,0.001,10000,3600,128,80,40,forward,LSTM,15,56,11,97.66218566894531,5.5908141657710075
68,0.001,10000,3600,128,80,40,forward,LSTM,15,68,14,98.5451889038086,3.4791419748216867
95,0.001,10000,3600,128,80,40,forward,LSTM,15,95,96,98.59651184082031,3.356398083269596
81,0.001,10000,3600,128,80,40,forward,LSTM,15,81,37,98.7553482055664,2.9765551444143057
19,0.001,10000,3600,128,80,40,forward,LSTM,15,19,8,98.53663635253906,3.499603131785989
38,0.001,10000,3600,128,80,40,forward,LSTM,15,38,63,98.119384765625,4.497435875236988
91,0.001,10000,3600,128,80,40,forward,LSTM,15,91,36,98.50838470458984,3.5671445075422525
54,0.001,10000,3600,128,80,40,forward,LSTM,15,54,28,98.17806243896484,4.3571204878389835
32,0.001,10000,3600,128,80,40,forward,LSTM,15,32,90,98.82620239257812,2.807105192914605
51,0.001,10000,3600,128,80,40,forward,LSTM,15,51,59,97.93244934082031,4.944503307342529
85,0.001,10000,3600,128,80,40,forward,LSTM,15,85,65,98.54252624511719,3.4854975529015064
11,0.001,10000,3600,128,80,40,forward,LSTM,15,11,92,98.57588195800781,3.4057493321597576
89,0.001,10000,3600,128,80,40,forward,LSTM,15,89,70,98.69353485107422,3.1243765261024237
90,0.001,10000,3600,128,80,40,forward,LSTM,15,90,87,98.18789672851562,4.333594348281622
36,0.001,10000,3600,128,80,40,forward,LSTM,15,36,18,98.77393341064453,2.9321089386940002
65,0.001,10000,3600,128,80,40,forward,LSTM,15,65,85,98.63606262207031,3.2618269324302673
88,0.001,10000,3600,128,80,40,forward,LSTM,15,88,88,98.85380554199219,2.7410932816565037
41,0.001,10000,3600,128,80,40,forward,LSTM,15,41,61,98.46575164794922,3.669107798486948
14,0.001,10000,3600,128,80,40,forward,LSTM,15,14,7,98.33648681640625,3.9782486855983734
27,0.001,10000,3600,128,80,40,forward,LSTM,15,27,99,98.65385437011719,3.2192706130445004
50,0.001,10000,3600,128,80,40,forward,LSTM,15,50,91,98.88528442382812,2.6658070273697376
20,0.001,10000,3600,128,80,40,forward,LSTM,15,20,43,98.63800048828125,3.2571761403232813
46,0.001,10000,3600,128,80,40,forward,LSTM,15,46,17,98.76895904541016,2.943990519270301
