experiment_id,lr,epochs,max_time,batch_size,seq_len,est_frac,est_direction,est_type,est_hidden_size,seed
44,0.001,10000,300,1024,80,0.6,forward,FF,8,136
299,0.001,10000,1800,1024,256,0.6,forward,ZERO,32,243
217,0.001,10000,1800,1024,40,0.1,forward,LSTM,32,43
313,0.001,10000,1800,1024,40,0.6,backward,ZERO,32,292
156,0.001,10000,300,1024,40,1.0,forward,FF,16,316
52,0.001,10000,300,1024,256,1.0,forward,FF,8,59
235,0.001,10000,1800,1024,40,0.1,backward,LSTM,32,0
150,0.001,10000,300,1024,40,0.6,forward,FF,16,110
2,0.001,10000,300,1024,80,0.1,forward,LSTM,8,15
213,0.001,10000,1800,1024,80,1.0,backward,ZERO,16,187
19,0.001,10000,1800,1024,40,0.1,backward,LSTM,8,108
228,0.001,10000,300,1024,40,1.0,forward,LSTM,32,270
127,0.001,10000,1800,1024,40,0.1,backward,LSTM,16,296
85,0.001,10000,1800,1024,40,1.0,forward,ZERO,8,248
279,0.001,10000,1800,1024,80,0.6,backward,FF,32,128
180,0.001,10000,300,1024,40,0.1,forward,ZERO,16,300
211,0.001,10000,1800,1024,40,1.0,backward,ZERO,16,262
11,0.001,10000,1800,1024,256,0.6,forward,LSTM,8,181
278,0.001,10000,300,1024,80,0.6,backward,FF,32,279
40,0.001,10000,300,1024,256,0.1,forward,FF,8,103
202,0.001,10000,300,1024,256,0.1,backward,ZERO,16,50
187,0.001,10000,1800,1024,40,0.6,forward,ZERO,16,287
226,0.001,10000,300,1024,256,0.6,forward,LSTM,32,272
146,0.001,10000,300,1024,80,0.1,forward,FF,16,246
23,0.001,10000,1800,1024,256,0.1,backward,LSTM,8,188
152,0.001,10000,300,1024,80,0.6,forward,FF,16,152
206,0.001,10000,300,1024,80,0.6,backward,ZERO,16,318
174,0.001,10000,300,1024,40,1.0,backward,FF,16,3
48,0.001,10000,300,1024,40,1.0,forward,FF,8,198
249,0.001,10000,1800,1024,80,1.0,backward,LSTM,32,23
200,0.001,10000,300,1024,80,0.1,backward,ZERO,16,14
199,0.001,10000,1800,1024,40,0.1,backward,ZERO,16,41
116,0.001,10000,300,1024,80,0.6,forward,LSTM,16,314
197,0.001,10000,1800,1024,256,1.0,forward,ZERO,16,309
17,0.001,10000,1800,1024,256,1.0,forward,LSTM,8,256
205,0.001,10000,1800,1024,40,0.6,backward,ZERO,16,266
204,0.001,10000,300,1024,40,0.6,backward,ZERO,16,306
210,0.001,10000,300,1024,40,1.0,backward,ZERO,16,319
49,0.001,10000,1800,1024,40,1.0,forward,FF,8,164
103,0.001,10000,1800,1024,40,1.0,backward,ZERO,8,175
320,0.001,10000,300,1024,80,1.0,backward,ZERO,32,192
88,0.001,10000,300,1024,256,1.0,forward,ZERO,8,73
292,0.001,10000,300,1024,256,0.1,forward,ZERO,32,293
315,0.001,10000,1800,1024,80,0.6,backward,ZERO,32,277
234,0.001,10000,300,1024,40,0.1,backward,LSTM,32,113
77,0.001,10000,1800,1024,256,0.1,forward,ZERO,8,45
221,0.001,10000,1800,1024,256,0.1,forward,LSTM,32,258
296,0.001,10000,300,1024,80,0.6,forward,ZERO,32,177
145,0.001,10000,1800,1024,40,0.1,forward,FF,16,83
14,0.001,10000,300,1024,80,1.0,forward,LSTM,8,215
157,0.001,10000,1800,1024,40,1.0,forward,FF,16,194
162,0.001,10000,300,1024,40,0.1,backward,FF,16,61
95,0.001,10000,1800,1024,256,0.1,backward,ZERO,8,20
245,0.001,10000,1800,1024,256,0.6,backward,LSTM,32,85
300,0.001,10000,300,1024,40,1.0,forward,ZERO,32,115
1,0.001,10000,1800,1024,40,0.1,forward,LSTM,8,65
62,0.001,10000,300,1024,80,0.6,backward,FF,8,74
55,0.001,10000,1800,1024,40,0.1,backward,FF,8,135
258,0.001,10000,300,1024,40,0.6,forward,FF,32,291
250,0.001,10000,300,1024,256,1.0,backward,LSTM,32,186
16,0.001,10000,300,1024,256,1.0,forward,LSTM,8,26
194,0.001,10000,300,1024,80,1.0,forward,ZERO,16,86
110,0.001,10000,300,1024,80,0.1,forward,LSTM,16,261
176,0.001,10000,300,1024,80,1.0,backward,FF,16,125
192,0.001,10000,300,1024,40,1.0,forward,ZERO,16,104
25,0.001,10000,1800,1024,40,0.6,backward,LSTM,8,167
8,0.001,10000,300,1024,80,0.6,forward,LSTM,8,63
35,0.001,10000,1800,1024,256,1.0,backward,LSTM,8,269
196,0.001,10000,300,1024,256,1.0,forward,ZERO,16,255
21,0.001,10000,1800,1024,80,0.1,backward,LSTM,8,66
259,0.001,10000,1800,1024,40,0.6,forward,FF,32,322
172,0.001,10000,300,1024,256,0.6,backward,FF,16,107
173,0.001,10000,1800,1024,256,0.6,backward,FF,16,236
155,0.001,10000,1800,1024,256,0.6,forward,FF,16,109
190,0.001,10000,300,1024,256,0.6,forward,ZERO,16,2
142,0.001,10000,300,1024,256,1.0,backward,LSTM,16,311
232,0.001,10000,300,1024,256,1.0,forward,LSTM,32,36
70,0.001,10000,300,1024,256,1.0,backward,FF,8,33
214,0.001,10000,300,1024,256,1.0,backward,ZERO,16,249
37,0.001,10000,1800,1024,40,0.1,forward,FF,8,12
266,0.001,10000,300,1024,80,1.0,forward,FF,32,82
193,0.001,10000,1800,1024,40,1.0,forward,ZERO,16,217
79,0.001,10000,1800,1024,40,0.6,forward,ZERO,8,222
34,0.001,10000,300,1024,256,1.0,backward,LSTM,8,21
195,0.001,10000,1800,1024,80,1.0,forward,ZERO,16,10
64,0.001,10000,300,1024,256,0.6,backward,FF,8,209
166,0.001,10000,300,1024,256,0.1,backward,FF,16,238
265,0.001,10000,1800,1024,40,1.0,forward,FF,32,91
27,0.001,10000,1800,1024,80,0.6,backward,LSTM,8,305
294,0.001,10000,300,1024,40,0.6,forward,ZERO,32,285
178,0.001,10000,300,1024,256,1.0,backward,FF,16,30
301,0.001,10000,1800,1024,40,1.0,forward,ZERO,32,265
80,0.001,10000,300,1024,80,0.6,forward,ZERO,8,100
12,0.001,10000,300,1024,40,1.0,forward,LSTM,8,97
33,0.001,10000,1800,1024,80,1.0,backward,LSTM,8,170
191,0.001,10000,1800,1024,256,0.6,forward,ZERO,16,11
130,0.001,10000,300,1024,256,0.1,backward,LSTM,16,313
50,0.001,10000,300,1024,80,1.0,forward,FF,8,289
144,0.001,10000,300,1024,40,0.1,forward,FF,16,239
31,0.001,10000,1800,1024,40,1.0,backward,LSTM,8,259
261,0.001,10000,1800,1024,80,0.6,forward,FF,32,84
143,0.001,10000,1800,1024,256,1.0,backward,LSTM,16,260
101,0.001,10000,1800,1024,256,0.6,backward,ZERO,8,145
78,0.001,10000,300,1024,40,0.6,forward,ZERO,8,120
277,0.001,10000,1800,1024,40,0.6,backward,FF,32,53
66,0.001,10000,300,1024,40,1.0,backward,FF,8,253
114,0.001,10000,300,1024,40,0.6,forward,LSTM,16,237
233,0.001,10000,1800,1024,256,1.0,forward,LSTM,32,178
92,0.001,10000,300,1024,80,0.1,backward,ZERO,8,126
240,0.001,10000,300,1024,40,0.6,backward,LSTM,32,282
82,0.001,10000,300,1024,256,0.6,forward,ZERO,8,245
224,0.001,10000,300,1024,80,0.6,forward,LSTM,32,112
253,0.001,10000,1800,1024,40,0.1,forward,FF,32,143
165,0.001,10000,1800,1024,80,0.1,backward,FF,16,168
41,0.001,10000,1800,1024,256,0.1,forward,FF,8,166
15,0.001,10000,1800,1024,80,1.0,forward,LSTM,8,64
260,0.001,10000,300,1024,80,0.6,forward,FF,32,203
309,0.001,10000,1800,1024,80,0.1,backward,ZERO,32,193
45,0.001,10000,1800,1024,80,0.6,forward,FF,8,142
6,0.001,10000,300,1024,40,0.6,forward,LSTM,8,101
184,0.001,10000,300,1024,256,0.1,forward,ZERO,16,276
297,0.001,10000,1800,1024,80,0.6,forward,ZERO,32,99
273,0.001,10000,1800,1024,80,0.1,backward,FF,32,105
75,0.001,10000,1800,1024,80,0.1,forward,ZERO,8,90
10,0.001,10000,300,1024,256,0.6,forward,LSTM,8,184
321,0.001,10000,1800,1024,80,1.0,backward,ZERO,32,117
312,0.001,10000,300,1024,40,0.6,backward,ZERO,32,87
122,0.001,10000,300,1024,80,1.0,forward,LSTM,16,106
47,0.001,10000,1800,1024,256,0.6,forward,FF,8,233
302,0.001,10000,300,1024,80,1.0,forward,ZERO,32,72
244,0.001,10000,300,1024,256,0.6,backward,LSTM,32,48
289,0.001,10000,1800,1024,40,0.1,forward,ZERO,32,185
90,0.001,10000,300,1024,40,0.1,backward,ZERO,8,308
98,0.001,10000,300,1024,80,0.6,backward,ZERO,8,263
271,0.001,10000,1800,1024,40,0.1,backward,FF,32,286
118,0.001,10000,300,1024,256,0.6,forward,LSTM,16,157
263,0.001,10000,1800,1024,256,0.6,forward,FF,32,315
73,0.001,10000,1800,1024,40,0.1,forward,ZERO,8,228
283,0.001,10000,1800,1024,40,1.0,backward,FF,32,151
257,0.001,10000,1800,1024,256,0.1,forward,FF,32,131
268,0.001,10000,300,1024,256,1.0,forward,FF,32,119
247,0.001,10000,1800,1024,40,1.0,backward,LSTM,32,141
252,0.001,10000,300,1024,40,0.1,forward,FF,32,148
275,0.001,10000,1800,1024,256,0.1,backward,FF,32,284
93,0.001,10000,1800,1024,80,0.1,backward,ZERO,8,29
132,0.001,10000,300,1024,40,0.6,backward,LSTM,16,229
57,0.001,10000,1800,1024,80,0.1,backward,FF,8,56
308,0.001,10000,300,1024,80,0.1,backward,ZERO,32,39
97,0.001,10000,1800,1024,40,0.6,backward,ZERO,8,189
254,0.001,10000,300,1024,80,0.1,forward,FF,32,78
32,0.001,10000,300,1024,80,1.0,backward,LSTM,8,22
218,0.001,10000,300,1024,80,0.1,forward,LSTM,32,114
170,0.001,10000,300,1024,80,0.6,backward,FF,16,224
96,0.001,10000,300,1024,40,0.6,backward,ZERO,8,46
318,0.001,10000,300,1024,40,1.0,backward,ZERO,32,195
123,0.001,10000,1800,1024,80,1.0,forward,LSTM,16,216
229,0.001,10000,1800,1024,40,1.0,forward,LSTM,32,93
89,0.001,10000,1800,1024,256,1.0,forward,ZERO,8,317
307,0.001,10000,1800,1024,40,0.1,backward,ZERO,32,312
225,0.001,10000,1800,1024,80,0.6,forward,LSTM,32,205
169,0.001,10000,1800,1024,40,0.6,backward,FF,16,40
46,0.001,10000,300,1024,256,0.6,forward,FF,8,132
287,0.001,10000,1800,1024,256,1.0,backward,FF,32,32
149,0.001,10000,1800,1024,256,0.1,forward,FF,16,303
248,0.001,10000,300,1024,80,1.0,backward,LSTM,32,207
310,0.001,10000,300,1024,256,0.1,backward,ZERO,32,88
107,0.001,10000,1800,1024,256,1.0,backward,ZERO,8,323
215,0.001,10000,1800,1024,256,1.0,backward,ZERO,16,221
133,0.001,10000,1800,1024,40,0.6,backward,LSTM,16,111
0,0.001,10000,300,1024,40,0.1,forward,LSTM,8,295
212,0.001,10000,300,1024,80,1.0,backward,ZERO,16,130
71,0.001,10000,1800,1024,256,1.0,backward,FF,8,304
177,0.001,10000,1800,1024,80,1.0,backward,FF,16,24
102,0.001,10000,300,1024,40,1.0,backward,ZERO,8,27
67,0.001,10000,1800,1024,40,1.0,backward,FF,8,220
108,0.001,10000,300,1024,40,0.1,forward,LSTM,16,54
